iter	Passed	Remaining
0	53	53812
1	55	27545
2	56	18739
3	57	14358
4	58	11725
5	60	9953
6	61	8688
7	62	7734
8	63	7000
9	64	6422
10	66	5961
11	67	5571
12	68	5229
13	70	4930
14	71	4674
15	72	4454
16	73	4271
17	75	4094
18	76	3937
19	77	3798
20	78	3678
21	80	3564
22	81	3461
23	82	3365
24	84	3279
25	85	3202
26	86	3123
27	87	3047
28	89	2981
29	90	2924
30	91	2865
31	92	2809
32	94	2757
33	95	2710
34	96	2664
35	97	2623
36	99	2582
37	100	2546
38	101	2509
39	103	2472
40	104	2440
41	105	2414
42	107	2384
43	108	2353
44	109	2325
45	111	2306
46	112	2279
47	113	2259
48	115	2238
49	116	2221
50	118	2200
51	119	2182
52	121	2162
53	122	2143
54	123	2126
55	125	2110
56	126	2091
57	127	2075
58	129	2061
59	130	2047
60	132	2032
61	133	2020
62	134	2006
63	136	1992
64	137	1980
65	138	1965
66	140	1951
67	140	1929
68	142	1918
69	143	1912
70	145	1900
71	146	1891
72	148	1879
73	149	1869
74	150	1858
75	152	1849
76	153	1841
77	154	1831
78	156	1822
79	157	1811
80	158	1803
81	160	1794
82	161	1787
83	163	1778
84	163	1764
85	165	1756
86	166	1742
87	167	1731
88	168	1723
89	170	1719
90	171	1711
91	172	1702
92	173	1695
93	175	1687
94	176	1679
95	177	1671
96	178	1662
97	179	1654
98	180	1646
99	182	1639
100	183	1634
101	184	1623
102	185	1616
103	186	1608
104	187	1601
105	189	1594
106	190	1588
107	191	1582
108	192	1575
109	194	1569
110	195	1562
111	196	1556
112	197	1552
113	199	1547
114	200	1541
115	201	1533
116	202	1527
117	203	1520
118	204	1512
119	205	1505
120	206	1499
121	207	1493
122	208	1484
123	209	1477
124	210	1473
125	211	1467
126	213	1465
127	214	1459
128	215	1454
129	216	1449
130	217	1445
131	219	1441
132	220	1437
133	221	1432
134	222	1427
135	223	1422
136	225	1418
137	226	1412
138	227	1409
139	228	1405
140	230	1404
141	231	1400
142	233	1396
143	234	1396
144	236	1393
145	237	1389
146	238	1386
147	240	1382
148	241	1378
149	242	1376
150	244	1373
151	245	1371
152	247	1367
153	248	1364
154	249	1360
155	250	1356
156	252	1353
157	253	1349
158	254	1346
159	255	1342
160	257	1339
161	258	1338
162	259	1334
163	261	1331
164	262	1327
165	263	1324
166	264	1321
167	266	1318
168	267	1314
169	268	1311
170	269	1308
171	271	1307
172	272	1304
173	274	1302
174	275	1298
175	276	1296
176	278	1293
177	279	1291
178	280	1287
179	281	1284
180	282	1278
181	283	1274
182	284	1271
183	286	1270
184	287	1267
185	288	1263
186	290	1262
187	291	1260
188	293	1260
189	295	1258
190	296	1256
191	297	1253
192	298	1249
193	299	1246
194	301	1243
195	302	1241
196	304	1239
197	305	1236
198	306	1233
199	307	1229
200	308	1226
201	309	1223
202	310	1220
203	312	1217
204	313	1214
205	314	1212
206	315	1209
207	317	1207
208	318	1205
209	319	1202
210	320	1199
211	322	1197
212	323	1194
213	324	1191
214	325	1188
215	326	1185
216	327	1182
217	328	1179
218	330	1178
219	331	1176
220	333	1174
221	334	1172
222	335	1170
223	337	1167
224	338	1164
225	339	1162
226	340	1159
227	341	1157
228	343	1155
229	344	1152
230	345	1149
231	347	1149
232	348	1147
233	349	1145
234	350	1142
235	352	1140
236	353	1137
237	354	1135
238	355	1132
239	356	1130
240	358	1127
241	359	1124
242	360	1122
243	361	1119
244	362	1118
245	364	1115
246	365	1113
247	366	1110
248	367	1107
249	368	1104
250	369	1102
